report_date,report_file,short_count,short_market_value,short_cost_market_value,short_pnl,smt_current_price,smt_price_source,smt_pnl,pair_pnl,smt_otc_pnl,smt_otc_current_usd_price,smt_otc_current_fx,smt_otc_fx_source,smt_swap_long_count,smt_swap_long_quantity,smt_swap_long_market_value_usd,smt_swap_long_cost_usd,smt_swap_long_pnl,daily_pair_pnl_change
2026-05-13,reports/2026-05-14__20260513_1800_JMLNKWGE_Report.xlsx,30,-1769939.4499999997,-1787148.15,17208.700000000186,1438.0,Yahoo SMT.L close (fallback),0.0,17208.700000000186,0.0,,,,0,0.0,0.0,0.0,0.0,17208.700000000186
2026-05-14,reports/2026-05-15__20260514_1800_JMLNKWGE_Report.xlsx,30,-1788793.8599999999,-1787148.15,-1645.7099999999627,1450.0,Yahoo SMT.L close (fallback),3863.6882105043187,2217.978210504356,3863.6882105043187,19.417475521564484,1.3391362428665161,Yahoo GBPUSD=X close,0,0.0,0.0,0.0,0.0,-14990.72178949583
2026-05-15,reports/2026-05-18__20260515_1800_JMLNKWGE_Report.xlsx,30,-2864168.6199999996,-2901251.8299999996,37083.20999999996,1439.0,Yahoo SMT.L close (fallback),-18973.630295177045,18109.579704822918,-18924.245929368317,19.270170534849168,1.3391362428665161,Yahoo GBPUSD=X close,1,1000.0,19204.180879628893,19253.56524543762,-49.384365808728035,15891.601494318562
2026-05-18,reports/2026-05-19__20260518_1800_JMLNKWGE_Report.xlsx,30,-2867396.6399999997,-2901251.8299999996,33855.189999999944,1439.0,Yahoo SMT.L close (fallback),-18580.626722382625,15274.563277617319,-9874.991917141258,19.328666414022447,1.3432012796401978,Yahoo GBPUSD=X close,1,99999.99999999999,1927468.774068245,1936174.4088734863,-8705.634805241367,-2835.016427205599
2026-05-19,reports/20260519_1800_JMLNKWGE_Report.xlsx,30,-3185626.22,-3239722.63,54096.40999999968,1442.0,Yahoo SMT.L close (fallback),-12009.929946508953,42086.480053490726,-11668.781413578658,19.31707106113434,1.3396027088165283,Yahoo GBPUSD=X close,1,130000.0,2510744.9329052772,2511086.0814382075,-341.1485329302959,26811.916775873407
2026-05-20,reports/20260520_1800_JMLNKWGE_Report.xlsx,30,-4403180.6499999985,-4385265.2299999995,-17915.419999998994,1470.0,Yahoo SMT.L close (fallback),115279.10496523623,97363.68496523723,54992.1328990629,19.747978270053864,1.3433998823165894,Yahoo GBPUSD=X close,1,230000.0,4542541.485455403,4482254.51338923,60286.97206617333,55277.20491174651
2026-05-21,reports/20260521_1800_JMLNKWGE_Report.xlsx,30,-4461809.279999999,-4385265.2299999995,-76544.04999999981,1470.0,Yahoo SMT.L close (fallback),107317.63227758597,30773.58227758616,54663.84181807511,19.745856142044065,1.3432555198669434,Yahoo GBPUSD=X close,1,230000.0,4534426.638448879,4481772.847989368,52653.79045951087,-66590.10268765107
2026-05-22,reports/20260522_1800_JMLNKWGE_Report.xlsx,30,-4456225.7700000005,-4385265.2299999995,-70960.54000000097,1498.0,Yahoo SMT.L close (fallback),259450.91072236182,188490.37072236085,112847.92180508649,20.121967687606812,1.3432555198669434,Yahoo GBPUSD=X close,1,230000.0,4628375.836906644,4481772.847989368,146602.98891727533,157716.7884447747
2026-05-25,reports/20260525_1800_JMLNKWGE_Report.xlsx,30,-4456225.7700000005,-4385265.2299999995,-70960.54000000097,1498.0,swap report,276381.2212524741,205420.68125247315,127636.3796854216,20.217562732696535,1.3496370315551758,Yahoo GBPUSD=X close,1,230000.0,4651809.607133116,4503064.765566063,148744.84156705253,16930.3105301123
2026-05-26,reports/20260526_1800_JMLNKWGE_Report.xlsx,30,-4470995.47,-4385265.2299999995,-85730.24000000022,1520.0,Yahoo SMT.L close (fallback),376841.31190799375,291111.0719079935,163918.7786720089,20.452098178863526,1.345532774925232,Yahoo GBPUSD=X close,1,230000.0,4702293.4440936865,4489370.910857702,212922.53323598485,85690.39065552037
2026-05-27,reports/20260527_1800_JMLNKWGE_Report.xlsx,30,-4494144.055000001,-4385265.2299999995,-108878.82500000112,1515.0,Yahoo SMT.L close (fallback),344019.87579353084,235141.05079352972,144414.78327444688,20.32602111697197,1.3416515588760376,Yahoo GBPUSD=X close,1,230000.0,4676026.323699919,4476421.231180835,199605.092519084,-55970.0211144638
2026-05-28,reports/20260528_1800_JMLNKWGE_Report.xlsx,30,-4593466.6400000015,-4385265.2299999995,-208201.410000002,1509.0,Yahoo SMT.L close (fallback),314061.7561130877,105860.34611308569,138488.50603017485,20.28771267771721,1.3444474935531616,Yahoo GBPUSD=X close,1,230000.0,4661323.118991533,4485749.86890862,175573.25008291285,-129280.70468044403
