signal,date,open,high,low,close,prev_close,ma50,ma200,prev_ma50,prev_ma200,gap_vs_prev_close_pct,max_dd_3m_pct,ret_3d_pct,ret_1w_pct,ret_2w_pct,ret_3w_pct,ret_1m_pct,ret_3m_pct
Loose close-cross signal,1956-11-02,46.98,46.98,46.98,46.98,46.52,46.6206,46.899899999999995,46.641000000000005,46.8811,0.9888220120378266,-6.726266496381427,-0.5321413367390337,-1.042997020008507,-3.5972754363558956,-4.406130268199238,-1.2558535547041227,-6.726266496381427
Loose close-cross signal,1959-10-27,57.42,57.42,57.42,57.42,56.94,57.41439999999999,57.34075,57.4494,57.33175,0.8429926238145535,-2.2466039707419005,0.17415534656914922,-0.27864855451062986,0.12190874259840889,-0.7488679902473039,0.48763497039359116,-2.2466039707419005
Loose close-cross signal,1960-08-12,56.66,56.66,56.66,56.66,56.28,56.4112,56.532799999999995,56.400600000000004,56.5366,0.6751954513148473,-7.871514295799498,0.31768443346276154,0.6177197317331462,1.6590187080833152,0.6000705965407693,-1.4648782209671696,-1.3942816801976732
Loose close-cross signal,1971-08-16,95.69,100.96,97.9,98.76,95.69,98.25119999999998,96.34470000000002,98.302,96.26769999999999,0.0,-7.928311057108139,-0.607533414337802,0.4961522883758507,0.7695423248278654,2.4200081004455143,1.0226812474686042,-6.723369785338196
Loose close-cross signal,1975-10-03,83.82,86.21,83.88,85.95,83.82,85.4912,84.47194999999999,85.5736,84.3817,0.0,-0.45375218150087715,2.3152995927864906,2.6294357184409423,3.385689354275745,4.5142524723676525,2.489819662594539,7.713787085514823
Loose close-cross signal,1976-12-01,102.1,103.03,101.62,102.49,102.1,102.3752,102.38595,102.4518,102.36874999999998,0.0,-3.580837154844374,1.0440042931017635,1.5513708654502967,2.5856181090838204,2.166064981949467,4.849253585715685,-2.048980388330568
Loose close-cross signal,1976-12-03,102.12,103.31,101.75,102.76,102.12,102.167,102.40405000000001,102.26100000000001,102.3973,0.0,-3.834176722460114,1.284546516154128,1.887894122226541,1.4597119501751576,3.2113662903853646,2.8610354223433276,-1.5181004281821786
Loose close-cross signal,1979-03-08,98.44,99.82,98.1,99.58,98.44,98.73479999999999,99.07945,98.6936,99.0718,0.0,-2.0988150230970115,0.26109660574413773,0.28118096003213466,2.0988150230970115,2.4603334002811783,3.6151837718417346,2.219321148825082
Loose close-cross signal,1984-01-04,164.09,166.78,164.04,166.78,164.04,164.8414,164.18955000000003,164.82479999999998,164.1116,0.03048037064130593,-8.784026861734029,1.2711356277731234,0.6115841227964935,0.46168605348364533,-1.16320901786785,-2.0506055882000163,-5.468281568533396
Loose close-cross signal,1984-01-24,164.87,166.35,164.84,165.94,164.87,165.8032,165.23515,165.7726,165.18115,0.0,-8.322285163312038,-1.2052549114137667,-1.524647462938411,-4.33891768108955,-5.622514161745196,-7.020609858985183,-4.742678076413165
Loose close-cross signal,1986-11-20,237.66,242.05,237.66,242.05,237.66,237.9836,238.32275,237.84620000000004,238.17984999999996,0.0,-0.3181160917165915,2.5284032224746955,2.9621978929973203,3.767816566825033,2.1896302416855917,2.768023135715758,16.661846725883066
Loose close-cross signal,1994-10-11,459.04,466.34,459.04,465.79,459.04,464.4968,460.61689999999993,464.40119999999996,460.64065000000005,0.0,-4.9185255157903836,0.7106206659653447,0.40146847291697707,-0.9145752377681005,0.5646321303591773,-0.08372871895060419,-0.8866656647845583
Loose close-cross signal,1999-10-06,1301.35,1325.46,1301.35,1325.4,1301.35,1322.7133999999999,1307.7428499999999,1323.4622,1307.056,0.0,-6.918666063075296,0.7401539157990022,-3.0066395050550865,-2.713897691263012,-2.164629545797503,2.8097178210351625,5.787686736079656
Loose close-cross signal,1999-10-28,1296.71,1342.47,1296.71,1342.44,1296.71,1314.7862,1312.2709,1314.5941999999998,1311.7307,0.0,0.0,0.394803492148621,1.5047227436608024,2.906647596913081,6.145526057030493,4.8709811984148255,1.3199845058252224
Loose close-cross signal,2004-10-27,1111.09,1126.29,1107.43,1125.4,1111.09,1113.808,1119.37005,1112.9342,1119.3792,0.0,-0.42651501688290017,0.45406077838989756,1.5816598542740312,3.333037142349382,5.023991469699651,5.087080149280254,4.367336058290383
Loose close-cross signal,2007-12-24,1484.55,1497.63,1484.55,1496.45,1484.46,1485.5366000000001,1488.775,1486.8436000000002,1488.3257499999997,0.006062810719043021,-16.002539343112034,-1.2001737445287208,-3.2937953155802058,-5.83514317217414,-8.236158909418956,-11.082227939456724,-11.406328310334457
Loose close-cross signal,2009-06-24,896.31,910.85,896.31,900.94,895.1,900.5448,897.2017,899.3559999999999,899.03595,0.13518042676794462,-3.509667680422668,2.9180633560503377,2.4851821430949883,-2.0267720380935605,4.417608275800822,8.69314271760604,17.751459586653915
Loose close-cross signal,2015-12-16,2046.5,2076.72,2042.43,2073.07,2043.41,2060.6162,2062.3253999999997,2058.7531999999997,2062.4527000000003,0.15121781727602812,-12.685051638391387,-2.5044981597341143,-0.42352646075627387,-1.405162392007997,-7.285812828317429,-9.249084690820874,-1.1331021142556796
Loose close-cross signal,2015-12-23,2042.2,2064.73,2042.2,2064.29,2038.97,2063.1472,2061.504,2061.9352,2061.38375,0.1584133165274615,-12.313676857418287,0.6815902804354179,-0.9858111021222804,-6.891473581715745,-8.9115385919614,-7.782821212135882,-1.319582035469824
Loose close-cross signal,2015-12-29,2060.54,2081.56,2060.54,2078.36,2056.5,2066.04,2061.4805499999998,2065.135,2061.4947,0.19645027960126793,-12.907292288150284,-3.161146288419714,-4.238919147789611,-9.049442829923604,-10.073808194922929,-6.645624434650399,-0.8958986893512377
Loose close-cross signal,2018-12-03,2790.5,2800.18,2773.38,2790.37,2760.17,2772.2560000000003,2762.1701000000003,2775.042,2761.87935,1.0988453609741322,-15.90434243487423,-5.636886864466007,-5.504287961811505,-8.751885950608706,-11.563699437708985,-9.261495787297026,-1.485107709730249
Loose close-cross signal,2023-01-20,3909.04,3972.96,3897.86,3972.61,3898.85,3928.9804000000004,3968.8722500000003,3925.6641999999997,3971.9224000000004,0.26135911871449924,-4.121975225355623,1.0977669592534767,2.4656334248768452,4.1249959094902255,2.9665635438666182,0.6225126554079141,4.050485700836481
Loose close-cross signal,2026-04-08,6754.36,6793.5,6740.28,6782.82,6616.84,6768.2734,6654.9973500000015,6771.6214,6650.9225,2.078333464312254,,,,,,,
