symbol,date,open,high,low,close,volume,change,changePercent,vwap,ma50,prev_ma50,ma200,prev_ma200,prev_open,prev_high,prev_low,prev_close
^GSPC,1950-01-03,16.66,16.66,16.66,16.66,1260000.0,0.0,0.0,16.66,,,,,,,,
^GSPC,1950-01-04,16.85,16.85,16.85,16.85,1890000.0,0.0,0.0,16.85,,,,,16.66,16.66,16.66,16.66
^GSPC,1950-01-05,16.93,16.93,16.93,16.93,2550000.0,0.0,0.0,16.93,,,,,16.85,16.85,16.85,16.85
^GSPC,1950-01-06,16.98,16.98,16.98,16.98,2010000.0,0.0,0.0,16.98,,,,,16.93,16.93,16.93,16.93
^GSPC,1950-01-09,17.08,17.08,17.08,17.08,2520000.0,0.0,0.0,17.08,,,,,16.98,16.98,16.98,16.98
^GSPC,1950-01-10,17.03,17.03,17.03,17.03,2160000.0,0.0,0.0,17.03,,,,,17.08,17.08,17.08,17.08
^GSPC,1950-01-11,17.09,17.09,17.09,17.09,2630000.0,0.0,0.0,17.09,,,,,17.03,17.03,17.03,17.03
^GSPC,1950-01-12,16.76,16.76,16.76,16.76,2970000.0,0.0,0.0,16.76,,,,,17.09,17.09,17.09,17.09
^GSPC,1950-01-13,16.67,16.67,16.67,16.67,3330000.0,0.0,0.0,16.67,,,,,16.76,16.76,16.76,16.76
^GSPC,1950-01-16,16.72,16.72,16.72,16.72,1460000.0,0.0,0.0,16.72,,,,,16.67,16.67,16.67,16.67
^GSPC,1950-01-17,16.86,16.86,16.86,16.86,1790000.0,0.0,0.0,16.86,,,,,16.72,16.72,16.72,16.72
^GSPC,1950-01-18,16.85,16.85,16.85,16.85,1570000.0,0.0,0.0,16.85,,,,,16.86,16.86,16.86,16.86
^GSPC,1950-01-19,16.87,16.87,16.87,16.87,1170000.0,0.0,0.0,16.87,,,,,16.85,16.85,16.85,16.85
^GSPC,1950-01-20,16.9,16.9,16.9,16.9,1440000.0,0.0,0.0,16.9,,,,,16.87,16.87,16.87,16.87
^GSPC,1950-01-23,16.92,16.92,16.92,16.92,1340000.0,0.0,0.0,16.92,,,,,16.9,16.9,16.9,16.9
^GSPC,1950-01-24,16.86,16.86,16.86,16.86,1250000.0,0.0,0.0,16.86,,,,,16.92,16.92,16.92,16.92
^GSPC,1950-01-25,16.74,16.74,16.74,16.74,1700000.0,0.0,0.0,16.74,,,,,16.86,16.86,16.86,16.86
^GSPC,1950-01-26,16.73,16.73,16.73,16.73,1150000.0,0.0,0.0,16.73,,,,,16.74,16.74,16.74,16.74
^GSPC,1950-01-27,16.82,16.82,16.82,16.82,1250000.0,0.0,0.0,16.82,,,,,16.73,16.73,16.73,16.73
^GSPC,1950-01-30,17.02,17.02,17.02,17.02,1640000.0,0.0,0.0,17.02,,,,,16.82,16.82,16.82,16.82
^GSPC,1950-01-31,17.05,17.05,17.05,17.05,1690000.0,0.0,0.0,17.05,,,,,17.02,17.02,17.02,17.02
^GSPC,1950-02-01,17.05,17.05,17.05,17.05,1810000.0,0.0,0.0,17.05,,,,,17.05,17.05,17.05,17.05
^GSPC,1950-02-02,17.23,17.23,17.23,17.23,2040000.0,0.0,0.0,17.23,,,,,17.05,17.05,17.05,17.05
^GSPC,1950-02-03,17.29,17.29,17.29,17.29,2210000.0,0.0,0.0,17.29,,,,,17.23,17.23,17.23,17.23
^GSPC,1950-02-06,17.32,17.32,17.32,17.32,1490000.0,0.0,0.0,17.32,,,,,17.29,17.29,17.29,17.29
^GSPC,1950-02-07,17.23,17.23,17.23,17.23,1360000.0,0.0,0.0,17.23,,,,,17.32,17.32,17.32,17.32
^GSPC,1950-02-08,17.21,17.21,17.21,17.21,1470000.0,0.0,0.0,17.21,,,,,17.23,17.23,17.23,17.23
^GSPC,1950-02-09,17.28,17.28,17.28,17.28,1810000.0,0.0,0.0,17.28,,,,,17.21,17.21,17.21,17.21
^GSPC,1950-02-10,17.24,17.24,17.24,17.24,1790000.0,0.0,0.0,17.24,,,,,17.28,17.28,17.28,17.28
^GSPC,1950-02-14,17.06,17.06,17.06,17.06,2210000.0,0.0,0.0,17.06,,,,,17.24,17.24,17.24,17.24
^GSPC,1950-02-15,17.06,17.06,17.06,17.06,1730000.0,0.0,0.0,17.06,,,,,17.06,17.06,17.06,17.06
^GSPC,1950-02-16,16.99,16.99,16.99,16.99,1920000.0,0.0,0.0,16.99,,,,,17.06,17.06,17.06,17.06
^GSPC,1950-02-17,17.15,17.15,17.15,17.15,1940000.0,0.0,0.0,17.15,,,,,16.99,16.99,16.99,16.99
^GSPC,1950-02-20,17.2,17.2,17.2,17.2,1420000.0,0.0,0.0,17.2,,,,,17.15,17.15,17.15,17.15
^GSPC,1950-02-21,17.17,17.17,17.17,17.17,1260000.0,0.0,0.0,17.17,,,,,17.2,17.2,17.2,17.2
^GSPC,1950-02-23,17.21,17.21,17.21,17.21,1310000.0,0.0,0.0,17.21,,,,,17.17,17.17,17.17,17.17
^GSPC,1950-02-24,17.28,17.28,17.28,17.28,1710000.0,0.0,0.0,17.28,,,,,17.21,17.21,17.21,17.21
^GSPC,1950-02-27,17.28,17.28,17.28,17.28,1410000.0,0.0,0.0,17.28,,,,,17.28,17.28,17.28,17.28
^GSPC,1950-02-28,17.22,17.22,17.22,17.22,1310000.0,0.0,0.0,17.22,,,,,17.28,17.28,17.28,17.28
^GSPC,1950-03-01,17.24,17.24,17.24,17.24,1410000.0,0.0,0.0,17.24,,,,,17.22,17.22,17.22,17.22
^GSPC,1950-03-02,17.23,17.23,17.23,17.23,1340000.0,0.0,0.0,17.23,,,,,17.24,17.24,17.24,17.24
^GSPC,1950-03-03,17.29,17.29,17.29,17.29,1520000.0,0.0,0.0,17.29,,,,,17.23,17.23,17.23,17.23
^GSPC,1950-03-06,17.32,17.32,17.32,17.32,1470000.0,0.0,0.0,17.32,,,,,17.29,17.29,17.29,17.29
^GSPC,1950-03-07,17.2,17.2,17.2,17.2,1590000.0,0.0,0.0,17.2,,,,,17.32,17.32,17.32,17.32
^GSPC,1950-03-08,17.19,17.19,17.19,17.19,1360000.0,0.0,0.0,17.19,,,,,17.2,17.2,17.2,17.2
^GSPC,1950-03-09,17.07,17.07,17.07,17.07,1330000.0,0.0,0.0,17.07,,,,,17.19,17.19,17.19,17.19
^GSPC,1950-03-10,17.09,17.09,17.09,17.09,1260000.0,0.0,0.0,17.09,,,,,17.07,17.07,17.07,17.07
^GSPC,1950-03-13,17.12,17.12,17.12,17.12,1060000.0,0.0,0.0,17.12,,,,,17.09,17.09,17.09,17.09
^GSPC,1950-03-14,17.25,17.25,17.25,17.25,1140000.0,0.0,0.0,17.25,,,,,17.12,17.12,17.12,17.12
^GSPC,1950-03-15,17.45,17.45,17.45,17.45,1830000.0,0.0,0.0,17.45,17.0662,,,,17.25,17.25,17.25,17.25
^GSPC,1950-03-16,17.49,17.49,17.49,17.49,2060000.0,0.0,0.0,17.49,17.0828,17.0662,,,17.45,17.45,17.45,17.45
^GSPC,1950-03-17,17.45,17.45,17.45,17.45,1600000.0,0.0,0.0,17.45,17.0948,17.0828,,,17.49,17.49,17.49,17.49
^GSPC,1950-03-20,17.44,17.44,17.44,17.44,1430000.0,0.0,0.0,17.44,17.105,17.0948,,,17.45,17.45,17.45,17.45
^GSPC,1950-03-21,17.45,17.45,17.45,17.45,1400000.0,0.0,0.0,17.45,17.1144,17.105,,,17.44,17.44,17.44,17.44
^GSPC,1950-03-22,17.55,17.55,17.55,17.55,2010000.0,0.0,0.0,17.55,17.123800000000003,17.1144,,,17.45,17.45,17.45,17.45
